id;jenjang_pendidikan;minat_bakat;jalur_pendaftaran;rata_nilai;rencana_karir;prodi_rekomendasi_id
250;D3;Teknik Instalasi Tenaga Listrik (TITL), Kimia, Matematika;SIMANDIRI;87.2;RF Engineer;2
251;D4;Fisika, Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;855.0;Automation Engineer;5
252;D3;Statistika, Fisika, Multimedia, Kimia;Jalur Tes Tulis;707.0;Electrical Engineer;1
253;D3;Elektronika, Teknik Tenaga Listrik (TTL), Pemrograman;Jalur Prestasi;92.1;Multimedia Designer;7
254;D4;Multimedia, Statistika, Teknik Tenaga Listrik (TTL);SIMANDIRI;85.9;Renewable Energy Engineer;8
255;D4;Multimedia;Jalur Tes Tulis;972.0;Game Developer;9
256;D4;Teknologi Komputer Jaringan (TKJ);SIMANDIRI;727.0;Network Engineer;2
257;D4;Fisika, Desain Grafis, Pemrograman;Jalur Tes Tulis;751.0;Telecommunications Specialist;2
258;D3;Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;80.4;RF Engineer;2
259;D4;Fisika;Jalur Tes Tulis;783.0;Digital Content Creator;11
260;D4;Matematika;Jalur Prestasi;81.9;Industrial Electrician;3
261;D4;Desain Grafis, Multimedia, Pemrograman;Jalur Prestasi;90.5;Electrical Engineer;1
262;D4;Fisika, Desain Grafis, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;91.7;DevOps Engineer;10
263;D4;Matematika, Elektronika;Jalur Tes Tulis;654.0;Energy Analyst;8
264;D3;Matematika;SIMANDIRI;96.7;Network Engineer;2
265;D3;Statistika, Matematika, Desain Animasi, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;807.5;Electrical Engineer;1
266;D4;Multimedia;Jalur Test Tulis;951.6;Machine Learning Engineer;12
267;D4;Teknologi Komputer Jaringan (TKJ), Multimedia;Jalur Prestasi;93.0;Embedded Systems Engineer;1
268;D4;Statistika, Kimia, Teknik Instalasi Tenaga Listrik (TITL);Jalur Tes Tulis;918.0;Electrical Engineer;1
269;D4;Fisika, Pemrograman, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;85.0;Energy Analyst;8
270;D4;Pemrograman;Jalur Test Tulis;755.1;Automation Engineer;5
271;D3;Statistika, Fisika;Jalur Test Tulis;654.0;Industrial Electrician;3
272;D4;Multimedia, Desain Animasi, Teknik Tenaga Listrik (TTL), Fisika;Jalur Tes Tulis;851.0;Control Systems Engineer;3
273;D3;Kimia;Jalur Tes Tulis;695.0;Cybersecurity Analyst;4
274;D4;Matematika, Teknik Instalasi Tenaga Listrik (TITL), Statistika, Teknik Tenaga Listrik (TTL);Jalur Tes Tulis;661.0;Data Scientist;12
275;D3;Multimedia, Desain Grafis;Jalur Prestasi;82.7;Full Stack Developer;4
276;D4;Multimedia, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;96.0;Motion Graphics Artist;11
277;D3;Teknik Instalasi Tenaga Listrik (TITL), Desain Animasi, Matematika, Statistika;Jalur Tes Tulis;693.0;Video Editor;7
278;D4;Kimia;Jalur Test Tulis;793.9;Data Scientist;12
279;D4;Kimia, Multimedia;Jalur Prestasi;93.0;Telecommunications Specialist;2
280;D4;Matematika, Teknik Tenaga Listrik (TTL), Elektronika;Jalur Prestasi;91.2;Data Scientist;12
281;D4;Statistika, Teknik Tenaga Listrik (TTL);Jalur Prestasi;83.0;Embedded Systems Engineer;1
282;D4;Desain Animasi, Teknik Instalasi Tenaga Listrik (TITL), Matematika, Desain Grafis;Jalur Test Tulis;915.2;Network Security Specialist;10
283;D4;Teknologi Komputer Jaringan (TKJ), Desain Grafis;SIMANDIRI;836.5;DevOps Engineer;10
284;D4;Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ), Statistika;Jalur Prestasi;91.1;Cloud Engineer;10
285;D3;Pemrograman, Elektronika, Desain Animasi;Jalur Test Tulis;865.1;Industrial Electrician;3
286;D4;Fisika, Pemrograman, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;844.9;Motion Graphics Artist;11
287;D4;Desain Grafis;Jalur Prestasi;83.0;Renewable Energy Engineer;8
288;D4;Desain Animasi, Teknik Tenaga Listrik (TTL), Kimia;Jalur Test Tulis;815.8;Cloud Engineer;10
289;D4;Statistika, Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ), Kimia;Jalur Test Tulis;891.0;Robotics Engineer;5
290;D4;Teknik Instalasi Tenaga Listrik (TITL);SIMANDIRI;903.6;RF Engineer;2
291;D3;Fisika, Statistika, Desain Animasi, Matematika;Jalur Test Tulis;753.3;Video Editor;7
292;D4;Matematika, Pemrograman;Jalur Prestasi;91.7;Computer Engineer;6
293;D4;Teknik Instalasi Tenaga Listrik (TITL), Matematika, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;680.0;Digital Content Creator;11
294;D4;Desain Animasi, Kimia, Desain Grafis, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;91.0;Computer Engineer;6
295;D4;Elektronika, Fisika, Pemrograman;Jalur Prestasi;87.8;RF Engineer;2
296;D3;Pemrograman, Fisika, Teknologi Komputer Jaringan (TKJ), Desain Grafis;Jalur Tes Tulis;931.0;Electronics Technician;1
297;D4;Statistika;Jalur Prestasi;82.2;3D Modeler;9
298;D3;Statistika, Multimedia, Elektronika, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;95.9;Multimedia Designer;7
299;D3;Multimedia, Desain Grafis, Matematika;Jalur Test Tulis;938.9;Automation Engineer;3
300;D4;Pemrograman, Kimia;Jalur Test Tulis;884.2;Network Security Specialist;10
301;D4;Pemrograman, Statistika, Kimia, Elektronika;Jalur Test Tulis;734.0;RF Engineer;2
302;D3;Elektronika, Multimedia;SIMANDIRI;835.6;Electronics Technician;1
303;D3;Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;969.5;Multimedia Designer;7
304;D4;Matematika;SIMANDIRI;95.6;UI/UX Designer;11
305;D4;Matematika, Statistika, Teknik Instalasi Tenaga Listrik (TITL);SIMANDIRI;975.8;Network Security Specialist;10
306;D4;Pemrograman, Elektronika, Matematika;Jalur Prestasi;94.0;Robotics Engineer;5
307;D3;Teknologi Komputer Jaringan (TKJ), Statistika;SIMANDIRI;712.0;Industrial Electrician;3
308;D4;Teknik Instalasi Tenaga Listrik (TITL), Multimedia, Teknik Tenaga Listrik (TTL);Jalur Prestasi;80.6;Business Intelligence Analyst;12
309;D4;Fisika;Jalur Prestasi;93.1;Game Developer;9
310;D4;Desain Animasi, Teknik Tenaga Listrik (TTL), Fisika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;92.4;3D Modeler;9
311;D4;Teknik Tenaga Listrik (TTL), Statistika, Desain Animasi;Jalur Tes Tulis;688.0;Robotics Engineer;5
312;D4;Fisika, Desain Animasi, Statistika, Kimia;Jalur Prestasi;90.4;Automation Engineer;5
313;D3;Desain Animasi, Elektronika, Kimia;Jalur Prestasi;94.7;Broadcast Engineer;7
314;D4;Pemrograman, Desain Grafis, Statistika;Jalur Tes Tulis;862.0;Digital Content Creator;11
315;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;84.0;Business Intelligence Analyst;12
316;D4;Matematika, Elektronika;Jalur Test Tulis;980.1;Cybersecurity Analyst;4
317;D4;Desain Animasi, Teknik Tenaga Listrik (TTL), Statistika;Jalur Test Tulis;675.5;Machine Learning Engineer;12
318;D4;Teknologi Komputer Jaringan (TKJ), Teknik Tenaga Listrik (TTL);Jalur Tes Tulis;660.0;Computer Engineer;6
319;D4;Pemrograman;Jalur Tes Tulis;737.0;Digital Content Creator;11
320;D4;Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Prestasi;91.6;Data Scientist;12
321;D4;Teknik Tenaga Listrik (TTL), Fisika, Elektronika, Matematika;Jalur Prestasi;90.0;DevOps Engineer;10
322;D4;Pemrograman;Jalur Test Tulis;695.7;IT Support Specialist;6
323;D4;Statistika, Desain Grafis, Pemrograman, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;791.1;Cloud Engineer;10
324;D4;Teknik Tenaga Listrik (TTL), Desain Grafis, Kimia;Jalur Tes Tulis;851.0;Game Designer;9
325;D4;Kimia;Jalur Prestasi;91.0;IT Support Specialist;6
326;D3;Desain Animasi;Jalur Test Tulis;725.0;Electronics Technician;1
327;D4;Desain Grafis;Jalur Test Tulis;745.0;DevOps Engineer;10
328;D4;Desain Grafis, Teknik Tenaga Listrik (TTL);Jalur Prestasi;89.0;Control Systems Engineer;3
329;D4;Matematika;Jalur Test Tulis;843.0;Network Security Specialist;10
330;D3;Desain Grafis, Statistika;Jalur Prestasi;98.2;Automation Engineer;3
331;D4;Desain Animasi, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;684.6;Renewable Energy Engineer;8
332;D3;Teknik Instalasi Tenaga Listrik (TITL), Teknologi Komputer Jaringan (TKJ), Desain Animasi, Teknik Tenaga Listrik (TTL);Jalur Tes Tulis;844.0;Full Stack Developer;4
333;D4;Pemrograman;Jalur Prestasi;90.1;3D Modeler;9
334;D4;Desain Animasi, Multimedia, Elektronika;Jalur Tes Tulis;956.0;Robotics Engineer;5
335;D4;Teknologi Komputer Jaringan (TKJ), Desain Grafis, Elektronika;Jalur Prestasi;85.0;Digital Content Creator;11
336;D4;Multimedia;Jalur Prestasi;94.7;Game Developer;9
337;D4;Fisika, Pemrograman, Desain Animasi, Multimedia;Jalur Test Tulis;841.0;Game Designer;9
338;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;91.2;Power Plant Operator;8
339;D4;Statistika, Fisika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;741.1;Cloud Engineer;10
340;D4;Fisika, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;824.6;Electrical Engineer;1
341;D4;Desain Grafis, Matematika;Jalur Prestasi;85.3;UI/UX Designer;11
342;D4;Desain Grafis, Teknologi Komputer Jaringan (TKJ), Fisika, Matematika;Jalur Prestasi;90.7;Full Stack Developer;4
343;D3;Pemrograman, Teknik Tenaga Listrik (TTL), Kimia;Jalur Prestasi;88.0;Embedded Systems Engineer;1
344;D4;Elektronika, Teknik Instalasi Tenaga Listrik (TITL), Desain Animasi;Jalur Prestasi;99.0;Digital Content Creator;11
345;D3;Teknik Tenaga Listrik (TTL), Pemrograman, Elektronika, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;952.0;Industrial Electrician;3
346;D4;Teknik Tenaga Listrik (TTL), Multimedia;Jalur Prestasi;97.7;Motion Graphics Artist;11
347;D3;Kimia, Statistika;SIMANDIRI;909.8;Broadcast Engineer;7
348;D4;Teknik Tenaga Listrik (TTL), Kimia;Jalur Prestasi;90.9;Automation Engineer;3
349;D4;Elektronika, Desain Grafis, Fisika, Multimedia;SIMANDIRI;777.2;Network Engineer;2
350;D3;Desain Grafis, Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Test Tulis;722.0;Telecommunications Specialist;2
351;D3;Matematika, Multimedia, Kimia;Jalur Prestasi;86.5;Full Stack Developer;4
352;D3;Multimedia, Kimia, Pemrograman;Jalur Test Tulis;660.0;Broadcast Engineer;7
353;D4;Multimedia;Jalur Prestasi;82.7;Game Developer;9
354;D4;Elektronika, Multimedia, Teknologi Komputer Jaringan (TKJ), Desain Animasi;Jalur Tes Tulis;993.0;Energy Analyst;8
355;D4;Desain Animasi;Jalur Tes Tulis;716.0;Game Designer;9
356;D4;Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;825.2;Business Intelligence Analyst;12
357;D4;Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL), Statistika;Jalur Test Tulis;732.4;Power Plant Operator;8
358;D4;Multimedia;Jalur Tes Tulis;811.0;Electrical Engineer;1
359;D4;Matematika, Teknik Tenaga Listrik (TTL), Fisika;Jalur Prestasi;93.2;Control Systems Engineer;3
360;D4;Teknik Instalasi Tenaga Listrik (TITL), Multimedia, Desain Grafis;Jalur Prestasi;90.2;Embedded Systems Engineer;1
361;D4;Desain Grafis, Teknik Tenaga Listrik (TTL);Jalur Tes Tulis;667.0;Robotics Engineer;5
362;D3;Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Prestasi;84.0;Full Stack Developer;4
363;D4;Desain Animasi, Fisika, Teknologi Komputer Jaringan (TKJ), Multimedia;Jalur Prestasi;81.6;Digital Content Creator;11
364;D4;Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;997.0;Embedded Systems Engineer;1
365;D4;Matematika, Desain Animasi;Jalur Prestasi;86.2;Game Developer;9
366;D4;Teknik Instalasi Tenaga Listrik (TITL), Multimedia, Desain Animasi;Jalur Prestasi;81.1;Business Intelligence Analyst;12
367;D4;Desain Animasi, Kimia;Jalur Prestasi;89.0;Business Intelligence Analyst;12
368;D4;Multimedia, Teknik Instalasi Tenaga Listrik (TITL), Fisika;Jalur Tes Tulis;676.0;Control Systems Engineer;3
369;D3;Fisika, Multimedia, Desain Grafis, Kimia;SIMANDIRI;767.0;Full Stack Developer;4
370;D4;Fisika, Pemrograman;Jalur Tes Tulis;706.0;Digital Content Creator;11
371;D4;Kimia;Jalur Prestasi;97.0;Motion Graphics Artist;11
372;D4;Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;851.0;3D Modeler;9
373;D3;Multimedia, Fisika, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;719.0;Embedded Systems Engineer;1
374;D4;Statistika, Multimedia, Pemrograman, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;768.1;Energy Analyst;8
375;D4;Elektronika;Jalur Tes Tulis;904.0;Game Developer;9
376;D3;Statistika, Multimedia, Teknik Instalasi Tenaga Listrik (TITL), Pemrograman;Jalur Tes Tulis;945.0;Automation Engineer;3
377;D4;Kimia, Fisika, Multimedia;SIMANDIRI;745.0;Automation Engineer;3
378;D3;Multimedia, Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;82.3;RF Engineer;2
379;D4;Teknik Instalasi Tenaga Listrik (TITL), Desain Animasi;Jalur Prestasi;83.0;Computer Engineer;6
380;D4;Multimedia;Jalur Prestasi;84.2;Machine Learning Engineer;12
381;D4;Statistika, Fisika, Teknologi Komputer Jaringan (TKJ), Teknik Tenaga Listrik (TTL);Jalur Prestasi;85.8;Network Security Specialist;10
382;D4;Pemrograman, Teknik Instalasi Tenaga Listrik (TITL), Fisika, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;688.9;Machine Learning Engineer;12
383;D4;Fisika, Teknologi Komputer Jaringan (TKJ), Teknik Instalasi Tenaga Listrik (TITL), Kimia;Jalur Tes Tulis;667.0;Embedded Systems Engineer;1
384;D4;Pemrograman, Fisika;Jalur Tes Tulis;714.0;Robotics Engineer;5
385;D4;Statistika, Kimia;Jalur Prestasi;83.5;UI/UX Designer;11
386;D4;Fisika;Jalur Prestasi;97.1;Computer Engineer;6
387;D3;Teknik Tenaga Listrik (TTL), Desain Animasi;SIMANDIRI;732.2;RF Engineer;2
388;D3;Fisika, Elektronika;Jalur Tes Tulis;651.0;Automation Engineer;3
389;D3;Statistika;Jalur Tes Tulis;735.0;Automation Engineer;3
390;D4;Statistika, Multimedia, Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;728.0;Business Intelligence Analyst;12
391;D4;Fisika, Multimedia, Desain Animasi;Jalur Test Tulis;743.0;Power Plant Operator;8
392;D4;Teknik Instalasi Tenaga Listrik (TITL), Matematika;Jalur Prestasi;93.1;Data Scientist;12
393;D3;Elektronika, Teknik Tenaga Listrik (TTL);Jalur Test Tulis;667.0;RF Engineer;2
394;D4;Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;664.5;Power Plant Operator;8
395;D4;Teknologi Komputer Jaringan (TKJ), Kimia, Statistika, Pemrograman;Jalur Prestasi;90.7;Control Systems Engineer;3
396;D4;Desain Animasi;Jalur Prestasi;89.1;Network Security Specialist;10
397;D4;Desain Grafis, Teknologi Komputer Jaringan (TKJ);SIMANDIRI;84.6;UI/UX Designer;11
398;D4;Multimedia, Statistika, Matematika, Elektronika;Jalur Prestasi;84.0;Game Developer;9
399;D4;Fisika;Jalur Prestasi;83.6;Cybersecurity Analyst;4
400;D3;Desain Grafis, Multimedia;Jalur Test Tulis;655.0;Control Systems Engineer;3
401;D4;Kimia;Jalur Tes Tulis;904.0;Power Plant Operator;8
402;D4;Fisika, Matematika, Desain Grafis;Jalur Prestasi;92.3;3D Modeler;9
403;D4;Desain Animasi, Elektronika;Jalur Prestasi;91.0;Network Engineer;2
404;D4;Elektronika, Pemrograman, Matematika;Jalur Tes Tulis;950.0;Full Stack Developer;4
405;D4;Matematika;Jalur Prestasi;80.3;Renewable Energy Engineer;8
406;D4;Elektronika;Jalur Prestasi;99.4;Electrical Engineer;1
407;D3;Desain Animasi;Jalur Prestasi;81.9;Embedded Systems Engineer;1
408;D3;Matematika, Pemrograman, Elektronika, Fisika;Jalur Prestasi;85.0;Industrial Electrician;3
409;D4;Matematika, Teknologi Komputer Jaringan (TKJ), Fisika;Jalur Prestasi;87.0;Game Designer;9
410;D4;Pemrograman;Jalur Prestasi;83.5;Data Scientist;12
411;D3;Desain Grafis, Teknologi Komputer Jaringan (TKJ), Kimia, Pemrograman;Jalur Tes Tulis;914.0;Multimedia Designer;7
412;D4;Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ), Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;953.2;Software Engineer;4
413;D4;Teknik Instalasi Tenaga Listrik (TITL), Fisika;Jalur Prestasi;86.4;Motion Graphics Artist;11
414;D4;Kimia, Teknologi Komputer Jaringan (TKJ), Teknik Tenaga Listrik (TTL), Desain Animasi;Jalur Prestasi;81.5;Automation Engineer;5
415;D4;Desain Animasi, Multimedia, Teknik Tenaga Listrik (TTL);Jalur Prestasi;80.0;System Administrator;6
416;D4;Desain Grafis, Pemrograman, Statistika, Fisika;Jalur Prestasi;87.0;IT Support Specialist;6
417;D4;Desain Grafis, Pemrograman;Jalur Prestasi;96.4;Cloud Engineer;10
418;D4;Teknologi Komputer Jaringan (TKJ), Multimedia;Jalur Prestasi;85.2;Cloud Engineer;10
419;D4;Teknik Tenaga Listrik (TTL), Fisika, Desain Animasi;Jalur Test Tulis;741.5;Software Engineer;4
420;D4;Elektronika, Desain Animasi;Jalur Prestasi;87.7;DevOps Engineer;10
421;D3;Statistika, Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Test Tulis;674.3;Video Editor;7
422;D4;Desain Animasi, Teknologi Komputer Jaringan (TKJ), Kimia;SIMANDIRI;694.3;Computer Engineer;6
423;D3;Desain Grafis, Statistika, Pemrograman;Jalur Test Tulis;932.4;Video Editor;7
424;D4;Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Test Tulis;942.3;Cloud Engineer;10
425;D4;Matematika, Teknologi Komputer Jaringan (TKJ), Fisika;Jalur Tes Tulis;962.0;Digital Content Creator;11
426;D4;Pemrograman, Desain Animasi, Teknik Tenaga Listrik (TTL);Jalur Tes Tulis;668.0;Renewable Energy Engineer;8
427;D4;Multimedia, Pemrograman, Teknologi Komputer Jaringan (TKJ), Desain Animasi;Jalur Prestasi;96.0;IT Support Specialist;6
428;D3;Teknik Instalasi Tenaga Listrik (TITL), Multimedia, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;920.4;Cybersecurity Analyst;4
429;D4;Teknik Tenaga Listrik (TTL), Multimedia, Desain Grafis, Statistika;Jalur Prestasi;85.5;Automation Engineer;5
430;D4;Matematika, Multimedia, Teknik Tenaga Listrik (TTL), Desain Grafis;Jalur Prestasi;95.0;Motion Graphics Artist;11
431;D4;Matematika;Jalur Test Tulis;772.7;Software Engineer;4
432;D4;Desain Grafis;Jalur Tes Tulis;940.0;Automation Engineer;5
433;D3;Teknik Tenaga Listrik (TTL), Fisika, Kimia, Multimedia;Jalur Test Tulis;751.3;Broadcast Engineer;7
434;D4;Kimia, Desain Grafis, Desain Animasi, Statistika;Jalur Prestasi;90.0;Automation Engineer;3
435;D4;Teknik Tenaga Listrik (TTL), Elektronika;Jalur Tes Tulis;734.0;Automation Engineer;5
436;D4;Kimia, Multimedia;Jalur Prestasi;89.0;Network Security Specialist;10
437;D3;Teknologi Komputer Jaringan (TKJ), Teknik Instalasi Tenaga Listrik (TITL), Teknik Tenaga Listrik (TTL), Pemrograman;Jalur Prestasi;98.0;RF Engineer;2
438;D3;Kimia, Desain Grafis, Fisika;Jalur Tes Tulis;732.0;Multimedia Designer;7
439;D4;Matematika, Elektronika;Jalur Tes Tulis;846.0;Network Engineer;2
440;D4;Desain Animasi, Statistika, Teknik Instalasi Tenaga Listrik (TITL), Teknik Tenaga Listrik (TTL);Jalur Test Tulis;985.3;Embedded Systems Engineer;1
441;D4;Desain Grafis, Matematika, Elektronika;Jalur Test Tulis;711.0;Telecommunications Specialist;2
442;D4;Fisika, Teknik Instalasi Tenaga Listrik (TITL), Desain Grafis, Matematika;Jalur Prestasi;93.9;Industrial Electrician;3
443;D4;Desain Grafis, Teknologi Komputer Jaringan (TKJ);Jalur Tes Tulis;771.0;Energy Analyst;8
444;D4;Multimedia, Pemrograman;Jalur Prestasi;99.0;DevOps Engineer;10
445;D4;Desain Grafis, Fisika, Teknik Instalasi Tenaga Listrik (TITL);Jalur Tes Tulis;680.0;Energy Analyst;8
446;D3;Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;80.2;Software Engineer;4
447;D4;Teknik Instalasi Tenaga Listrik (TITL);SIMANDIRI;752.3;DevOps Engineer;10
448;D4;Teknik Tenaga Listrik (TTL), Desain Animasi, Multimedia;Jalur Prestasi;90.0;Game Designer;9
449;D4;Pemrograman, Elektronika, Matematika, Fisika;Jalur Prestasi;85.0;Motion Graphics Artist;11
450;D4;Desain Grafis, Pemrograman, Teknik Tenaga Listrik (TTL);Jalur Prestasi;96.6;Game Developer;9
451;D4;Multimedia, Elektronika, Matematika, Desain Animasi;Jalur Test Tulis;702.7;Renewable Energy Engineer;8
452;D4;Matematika, Fisika, Teknik Tenaga Listrik (TTL), Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;81.0;System Administrator;6
453;D4;Desain Animasi;Jalur Tes Tulis;714.0;Power Plant Operator;8
454;D4;Multimedia, Kimia, Matematika;Jalur Tes Tulis;669.0;Business Intelligence Analyst;12
455;D4;Matematika;Jalur Test Tulis;989.3;Digital Content Creator;11
456;D4;Teknik Instalasi Tenaga Listrik (TITL);Jalur Prestasi;91.4;Game Designer;9
457;D4;Matematika, Statistika, Teknik Instalasi Tenaga Listrik (TITL), Multimedia;Jalur Prestasi;81.9;RF Engineer;2
458;D4;Teknik Tenaga Listrik (TTL);Jalur Prestasi;97.0;RF Engineer;2
459;D4;Multimedia, Fisika, Teknologi Komputer Jaringan (TKJ), Desain Grafis;Jalur Tes Tulis;705.0;Cloud Engineer;10
460;D4;Matematika, Elektronika, Teknik Tenaga Listrik (TTL);Jalur Prestasi;88.0;Power Plant Operator;8
461;D4;Teknik Tenaga Listrik (TTL), Matematika, Pemrograman, Elektronika;Jalur Test Tulis;933.0;Full Stack Developer;4
462;D4;Desain Grafis, Fisika;Jalur Prestasi;81.0;UI/UX Designer;11
463;D4;Fisika;Jalur Prestasi;84.3;Game Designer;9
464;D4;Statistika, Pemrograman, Teknik Instalasi Tenaga Listrik (TITL);Jalur Test Tulis;902.1;Game Designer;9
465;D4;Elektronika;Jalur Prestasi;90.3;Robotics Engineer;5
466;D4;Teknik Tenaga Listrik (TTL), Matematika, Fisika;Jalur Tes Tulis;911.0;Software Engineer;4
467;D3;Multimedia, Teknik Instalasi Tenaga Listrik (TITL), Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;768.6;Video Editor;7
468;D4;Matematika;Jalur Test Tulis;715.5;Control Systems Engineer;3
469;D4;Desain Animasi, Matematika;Jalur Prestasi;92.0;Motion Graphics Artist;11
470;D4;Statistika, Multimedia;Jalur Prestasi;80.6;Digital Content Creator;11
471;D4;Kimia, Desain Animasi, Teknik Tenaga Listrik (TTL), Multimedia;Jalur Prestasi;91.7;Control Systems Engineer;3
472;D4;Multimedia, Matematika;Jalur Prestasi;88.1;IT Support Specialist;6
473;D4;Teknik Instalasi Tenaga Listrik (TITL), Multimedia, Statistika, Desain Grafis;Jalur Prestasi;91.9;Network Engineer;2
474;D3;Teknologi Komputer Jaringan (TKJ), Statistika, Multimedia;Jalur Tes Tulis;872.0;Video Editor;7
475;D4;Matematika, Desain Animasi;Jalur Tes Tulis;792.0;Robotics Engineer;5
476;D4;Desain Grafis;Jalur Prestasi;97.0;RF Engineer;2
477;D3;Multimedia, Teknik Tenaga Listrik (TTL), Teknologi Komputer Jaringan (TKJ), Elektronika;Jalur Prestasi;93.6;Multimedia Designer;7
478;D4;Elektronika;Jalur Test Tulis;782.4;Power Plant Operator;8
479;D4;Statistika, Multimedia;Jalur Prestasi;83.0;Business Intelligence Analyst;12
480;D4;Teknologi Komputer Jaringan (TKJ), Elektronika, Pemrograman;Jalur Tes Tulis;684.0;Software Engineer;4
481;D4;Statistika;SIMANDIRI;97.6;3D Modeler;9
482;D4;Statistika, Pemrograman, Elektronika, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;94.7;Automation Engineer;3
483;D3;Teknik Tenaga Listrik (TTL), Pemrograman;Jalur Test Tulis;725.3;Control Systems Engineer;3
484;D3;Statistika, Teknik Instalasi Tenaga Listrik (TITL), Teknologi Komputer Jaringan (TKJ), Pemrograman;Jalur Tes Tulis;820.0;Broadcast Engineer;7
485;D4;Matematika;Jalur Tes Tulis;715.0;Telecommunications Specialist;2
486;D4;Teknik Tenaga Listrik (TTL);Jalur Test Tulis;913.6;Game Designer;9
487;D4;Fisika, Kimia, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;99.1;Control Systems Engineer;3
488;D4;Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;88.0;Software Engineer;4
489;D3;Multimedia, Desain Grafis, Teknologi Komputer Jaringan (TKJ);Jalur Test Tulis;934.1;Multimedia Designer;7
490;D4;Multimedia, Matematika;SIMANDIRI;81.4;Machine Learning Engineer;12
491;D4;Matematika;Jalur Test Tulis;860.2;Cloud Engineer;10
492;D4;Matematika, Teknologi Komputer Jaringan (TKJ), Teknik Tenaga Listrik (TTL);Jalur Prestasi;94.2;Energy Analyst;8
493;D4;Kimia;Jalur Prestasi;91.5;Game Developer;9
494;D4;Teknik Tenaga Listrik (TTL), Elektronika, Teknik Instalasi Tenaga Listrik (TITL), Matematika;Jalur Prestasi;94.9;Network Security Specialist;10
495;D3;Teknik Tenaga Listrik (TTL), Multimedia, Matematika;Jalur Prestasi;93.0;Electrical Engineer;1
496;D4;Kimia, Teknik Tenaga Listrik (TTL);Jalur Prestasi;86.3;Robotics Engineer;5
497;D4;Pemrograman;Jalur Tes Tulis;981.0;Automation Engineer;3
498;D3;Elektronika, Fisika, Matematika;Jalur Prestasi;84.8;Software Engineer;4
499;D4;Matematika, Kimia, Desain Animasi, Teknologi Komputer Jaringan (TKJ);Jalur Prestasi;84.2;Network Security Specialist;10
500;D4;Teknologi Komputer Jaringan (TKJ), Desain Grafis, Kimia, Matematika;Jalur Prestasi;83.0;Business Intelligence Analyst;12
501;D4;Teknik Instalasi Tenaga Listrik (TITL), Fisika, Teknologi Komputer Jaringan (TKJ), Multimedia;Jalur Test Tulis;934.6;Energy Analyst;8
502;D4;Pemrograman, Teknik Instalasi Tenaga Listrik (TITL), Fisika, Statistika;SIMANDIRI;874.0;Motion Graphics Artist;11
